average_rating,cast_1,cast_2,cast_3,cast_4,cast_5,country,director,genres,language,letterboxd_uri,poster_url,runtime,studio,synopsis,title,watched_by,year
3.97,Chris Pratt (Peter Quill / Star-Lord),Zoe Saldaña (Gamora),Dave Bautista (Drax),Karen Gillan (Nebula),Pom Klementieff (Mantis),USA,James Gunn,"Action, Science Fiction, Adventure",English,https://boxd.it/fVNI,https://a.ltrbxd.com/resized/sm/upload/4c/6j/js/74/guardians%203-1200-1200-675-675-crop-000000.jpg?v=ab95c6f636,150,"Marvel Studios, Kevin Feige Productions","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",Guardians of the Galaxy Vol. 3,"Reid, Zach",2023
3.52,Anya Taylor-Joy (Margot),Ralph Fiennes (Chef Slowik),Nicholas Hoult (Tyler),Janet McTeer (Lillian),Paul Adelstein (Ted),USA,Mark Mylod,"Comedy, Horror",English,https://boxd.it/lScm,https://a.ltrbxd.com/resized/sm/upload/9k/lr/hv/rv/GFq9kYUnpRCnlbIbjPzNA96e0j-1200-1200-675-675-crop-000000.jpg?v=4de0ef9ae6,107,"Hyperobject Industries, Searchlight Pictures, Gary Sanchez Productions, TSG Entertainment","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",The Menu,"Reid, Zach",2022
3.77,Daniel Craig (Benoit Blanc),Josh O'Connor (Fr. Jud Duplenticy),Glenn Close (Martha Delacroix),Josh Brolin (Mons. Jefferson Wicks),Mila Kunis (Chief Geraldine Scott),USA,Rian Johnson,"Comedy, Thriller, Mystery",English,https://boxd.it/uAKS,https://a.ltrbxd.com/resized/alternative-backdrop/7/2/9/1/1/3/tmdb/J9iin5aGcbsMW8YlMxGJTN4odT-1200-1200-675-675-crop-000000.jpg?v=e117983ea4,145,T-Street,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",Wake Up Dead Man,"Reid, Zach",2025
4.28,Hugh Jackman (Robert Angier),Christian Bale (Alfred Borden),Michael Caine (Cutter),Piper Perabo (Julia McCullough),Rebecca Hall (Sarah),UK,Christopher Nolan,"Science Fiction, Drama, Mystery",English,https://boxd.it/293w,https://a.ltrbxd.com/resized/sm/upload/uq/si/9s/nf/the-prestige-1200-1200-675-675-crop-000000.jpg?v=cb9f11d8af,130,"Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy","A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",The Prestige,"Reid, Zach",2006
3.23,Vince Vaughn (Peter La Fleur),Christine Taylor (Kate Veatch),Ben Stiller (White Goodman),Rip Torn (Patches O'Houlihan),Justin Long (Justin),USA,Rawson Marshall Thurber,Comedy,English,https://boxd.it/1YAY,https://a.ltrbxd.com/resized/sm/upload/lz/0z/o0/ib/dodgeball-1200-1200-675-675-crop-000000.jpg?v=fb8ea5f85d,93,"20th Century Fox, Red Hour, Mediastream Vierte Film","When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.",DodgeBall: A True Underdog Story,"Reid, Zach",2004
3.82,Mason Thames (Hiccup),Nico Parker (Astrid),Gerard Butler (Stoick),Nick Frost (Gobber),Gabriel Howell (Snotlout),USA,Dean DeBlois,"Fantasy, Family, Adventure, Action",English,https://boxd.it/F7Je,https://a.ltrbxd.com/resized/alternative-backdrop/9/8/0/1/1/6/tmdb/qEFTuoFIAwrnVn7IsvE8RVt2TK3-1200-1200-675-675-crop-000000.jpg?v=0fdac1e516,125,"DreamWorks Animation, Marc Platt Productions","On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",How to Train Your Dragon,"Reid, Zach",2025
4.25,Tom Hanks (Captain Miller),Tom Sizemore (Sergeant Horvath),Edward Burns (Private Reiben),Barry Pepper (Private Jackson),Adam Goldberg (Private Mellish),USA,Steven Spielberg,"History, Drama, War",English,https://boxd.it/29ro,https://a.ltrbxd.com/resized/sm/upload/3d/c1/78/g4/saving-private-ryan-80-1200-1200-675-675-crop-000000.jpg?v=56e5b7c125,169,"DreamWorks Pictures, Paramount Pictures, Amblin Entertainment, Mutual Film Company","As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",Saving Private Ryan,"Reid, Zach",1998
4.15,Harrison Ford (Indiana Jones),Karen Allen (Marion Ravenwood),Paul Freeman (Dr. René Belloq),John Rhys-Davies (Sallah),Ronald Lacey (Major Arnold Toht),USA,Steven Spielberg,"Adventure, Action",English,https://boxd.it/2bbs,https://a.ltrbxd.com/resized/sm/upload/8s/dm/a7/mo/raiders-of-the-lost-ark-1200-1200-675-675-crop-000000.jpg?v=3b102c4156,115,"Paramount Pictures, Lucasfilm Ltd.","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",Raiders of the Lost Ark,"Reid, Zach",1981
3.84,Henry Thomas (Elliott),Drew Barrymore (Gertie),Robert MacNaughton (Michael),Peter Coyote (Keys),Dee Wallace (Mary),USA,Steven Spielberg,"Science Fiction, Family, Adventure",English,https://boxd.it/2a1G,https://a.ltrbxd.com/resized/sm/upload/t7/xj/b0/1b/e.t.-1200-1200-675-675-crop-000000.jpg?v=e619218425,115,"Universal Pictures, Amblin Entertainment","An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",E.T. the Extra-Terrestrial,"Reid, Zach",1982
3.34,Tye Sheridan (Parzival / Wade),Olivia Cooke (Art3mis / Samantha),Ben Mendelsohn (Sorrento),Lena Waithe (Aech / Helen),T.J. Miller (I-R0k (voice)),USA,Steven Spielberg,"Science Fiction, Adventure, Action",English,https://boxd.it/aZes,https://a.ltrbxd.com/resized/sm/upload/55/qw/ol/78/ready-player-one-1200-1200-675-675-crop-000000.jpg?v=bb291b3306,140,"Amblin Entertainment, Warner Bros. Pictures, Village Roadshow Pictures, De Line Pictures, Dune Entertainment","When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",Ready Player One,"Reid, Zach",2018
4.11,Harrison Ford (Indiana Jones),Sean Connery (Professor Henry Jones),Denholm Elliott (Marcus Brody),Alison Doody (Elsa),John Rhys-Davies (Sallah),USA,Steven Spielberg,"Adventure, Action",English,https://boxd.it/2baO,https://a.ltrbxd.com/resized/sm/upload/0u/gu/pz/x0/indiana-jones-and-the-last-crusade-1200-1200-675-675-crop-000000.jpg?v=3d519f0516,127,"Paramount Pictures, Lucasfilm Ltd.","In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",Indiana Jones and the Last Crusade,"Reid, Zach",1989
3.66,Harrison Ford (Indiana Jones),Kate Capshaw (Willie Scott),Ke Huy Quan (Short Round),Amrish Puri (Mola Ram),Roshan Seth (Chattar Lal),USA,Steven Spielberg,"Adventure, Action",English,https://boxd.it/2bb8,https://a.ltrbxd.com/resized/sm/upload/1d/mh/gw/ey/indiana-jones-temple-of-doom-1200-1200-675-675-crop-000000.jpg?v=51ec1155f4,118,"Paramount Pictures, Lucasfilm Ltd.","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",Indiana Jones and the Temple of Doom,"Reid, Zach",1984
4.12,Sam Neill (Grant),Laura Dern (Ellie),Jeff Goldblum (Malcolm),Richard Attenborough (Hammond),Bob Peck (Muldoon),USA,Steven Spielberg,"Science Fiction, Adventure",English,https://boxd.it/2aA2,https://a.ltrbxd.com/resized/sm/upload/8x/wj/zt/pp/jurassic-park-1200-1200-675-675-crop-000000.jpg?v=ec7c8120cd,127,"Universal Pictures, Amblin Entertainment","A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",Jurassic Park,"Reid, Zach",1993
4.05,Leonardo DiCaprio (Frank Abagnale Jr.),Tom Hanks (Carl Hanratty),Christopher Walken (Frank Abagnale),Martin Sheen (Roger Strong),Nathalie Baye (Paula Abagnale),USA,Steven Spielberg,"Drama, Crime",English,https://boxd.it/29VS,https://a.ltrbxd.com/resized/sm/upload/bt/n3/m1/uc/catch-me-if-you-can-120-1200-1200-675-675-crop-000000.jpg?v=47ffd2b3f9,141,"Kemp Company, Splendid Pictures, DreamWorks Pictures, MacDonald/Parkes Productions","A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",Catch Me If You Can,"Reid, Zach",2002
2.79,Harrison Ford (Indiana Jones),Cate Blanchett (Irina Spalko),Karen Allen (Marion Ravenwood),Shia LaBeouf (Mutt Williams),Ray Winstone (George 'Mac' McHale),USA,Steven Spielberg,"Adventure, Action",English,https://boxd.it/2aR8,https://a.ltrbxd.com/resized/sm/upload/kl/oh/yg/38/indiana-jones-kingdom-crystal-skull-1200-1200-675-675-crop-000000.jpg?v=2db554e7c8,122,"Paramount Pictures, Lucasfilm Ltd.","Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts.",Indiana Jones and the Kingdom of the Crystal Skull,"Reid, Zach",2008
3.70,Tommy Lee Jones (Kay),Will Smith (Jay),Linda Fiorentino (Laurel),Vincent D'Onofrio (Edgar),Rip Torn (Zed),USA,Barry Sonnenfeld,"Science Fiction, Comedy, Action, Adventure",English,https://boxd.it/2a0I,https://a.ltrbxd.com/resized/sm/upload/n7/bc/pq/c8/men-in-black-1200-1200-675-675-crop-000000.jpg?v=bfe363396d,98,"Columbia Pictures, Amblin Entertainment, MacDonald/Parkes Productions","After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent K and new recruit Agent J find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",Men in Black,"Reid, Zach",1997
3.24,Daisy Edgar-Jones (Kate),Glen Powell (Tyler),Anthony Ramos (Javi),Brandon Perea (Boone),Maura Tierney (Cathy),USA,Lee Isaac Chung,"Thriller, Action",English,https://boxd.it/qV7a,https://a.ltrbxd.com/resized/sm/upload/6q/qu/l2/st/twisters-1200-1200-675-675-crop-000000.jpg?v=9ec286480f,123,"Universal Pictures, Warner Bros. Pictures, Amblin Entertainment, Domain Entertainment","As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",Twisters,"Reid, Zach",2024
3.16,Chris Pratt (Owen),Bryce Dallas Howard (Claire),Irrfan Khan (Masrani),Vincent D'Onofrio (Hoskins),Ty Simpkins (Gray),USA,Colin Trevorrow,"Adventure, Thriller, Science Fiction",English,https://boxd.it/4n0g,https://a.ltrbxd.com/resized/sm/upload/7c/u4/4v/r2/jurassic-world-1200-1200-675-675-crop-000000.jpg?v=a5f905ad8a,124,"Amblin Entertainment, Universal Pictures, Legendary Pictures","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Jurassic World,"Reid, Zach",2015
4.12,Mike Myers (Shrek / Blind Mouse (voice)),Eddie Murphy (Donkey (voice)),Cameron Diaz (Princess Fiona (voice)),John Lithgow (Lord Farquaad (voice)),Vincent Cassel (Monsieur Hood (voice)),USA,"Andrew Adamson, Vicky Jenson","Adventure, Fantasy, Family, Animation, Comedy",English,https://boxd.it/29zi,https://a.ltrbxd.com/resized/sm/upload/o9/yg/sp/gt/shrek-1200-1200-675-675-crop-000000.jpg?v=53e83d5bf2,90,"Pacific Data Images, DreamWorks Animation, DreamWorks Pictures","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",Shrek,"Reid, Zach",2001
3.82,Sean Astin (Mikey),Josh Brolin (Brand),Jeff Cohen (Chunk),Corey Feldman (Mouth),Kerri Green (Andy),USA,Richard Donner,"Adventure, Family, Comedy",English,https://boxd.it/1YVC,https://a.ltrbxd.com/resized/sm/upload/nw/yt/uz/i9/goonies-125-1200-1200-675-675-crop-000000.jpg?v=f5c54079c5,114,"Amblin Entertainment, Warner Bros. Pictures","Young teen Mikey Walsh and his friends set off on a quest to find Pirate One-Eyed Willie's treasure in hopes of saving their homes from demolition. However, on their quest to find the treasure, they run into a family of recently escaped criminals, determined to capture the kids and reach the treasure first.",The Goonies,"Reid, Zach",1985
4.44,Matthew McConaughey (Cooper),Anne Hathaway (Brand),Michael Caine (Professor Brand),Jessica Chastain (Murph),Casey Affleck (Tom),UK,Christopher Nolan,"Science Fiction, Drama, Adventure",English,https://boxd.it/4VZ8,https://a.ltrbxd.com/resized/sm/upload/r4/0u/oq/0i/interstellar-1200-1200-675-675-crop-000000.jpg?v=fc649141b5,169,"Legendary Pictures, Syncopy, Lynda Obst Productions",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Interstellar,"Reid, Zach",2014
4.37,Timothée Chalamet (Paul Atreides),Zendaya (Chani),Rebecca Ferguson (Jessica),Javier Bardem (Stilgar),Josh Brolin (Gurney Halleck),USA,Denis Villeneuve,"Adventure, Science Fiction",English,https://boxd.it/pUfA,https://a.ltrbxd.com/resized/sm/upload/qp/uv/i4/8b/l6b9YZEokZl1nt7q0pprrur6btG-1200-1200-675-675-crop-000000.jpg?v=ed21d71137,167,Legendary Pictures,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Dune: Part Two,"Reid, Zach",2024
4.49,Christian Bale (Bruce Wayne),Heath Ledger (Joker),Aaron Eckhart (Harvey Dent),Michael Caine (Alfred),Maggie Gyllenhaal (Rachel),UK,Christopher Nolan,"Thriller, Action, Crime",English,https://boxd.it/2b0k,https://a.ltrbxd.com/resized/sm/upload/zu/51/m1/43/the-dark-knight-20-1200-1200-675-675-crop-000000.jpg?v=899697afec,152,"Warner Bros. Pictures, Legendary Pictures, Syncopy, DC","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",The Dark Knight,"Reid, Zach",2008
3.75,Sam Worthington (Jake Sully),Zoe Saldaña (Neytiri),Sigourney Weaver (Dr. Grace Augustine),Stephen Lang (Colonel Miles Quaritch),Michelle Rodriguez (Trudy Chacon),USA,James Cameron,"Adventure, Science Fiction, Action",English,https://boxd.it/1Efm,https://a.ltrbxd.com/resized/sm/upload/7s/di/by/2k/avatar-1200-1200-675-675-crop-000000.jpg?v=95bd991ae8,162,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Film Partners","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Avatar,"Reid, Zach",2009
4.59,Tim Robbins (Andy Dufresne),Morgan Freeman (Ellis Boyd 'Red' Redding),Bob Gunton (Warden Norton),William Sadler (Heywood),Clancy Brown (Captain Byron T. Hadley),USA,Frank Darabont,"Crime, Drama",English,https://boxd.it/2aHi,https://a.ltrbxd.com/resized/sm/upload/1y/23/4e/ir/shawshank-redemption-1200-1200-675-675-crop-000000.jpg?v=a59d283bca,142,Castle Rock Entertainment,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",The Shawshank Redemption,"Reid, Zach",1994
4.39,Elijah Wood (Frodo),Ian McKellen (Gandalf),Viggo Mortensen (Aragorn),Sean Astin (Sam),Ian Holm (Bilbo),New Zealand,Peter Jackson,"Adventure, Action, Fantasy",English,https://boxd.it/2b5O,https://a.ltrbxd.com/resized/sm/upload/3x/7b/zs/bg/lotr-fellowship-100-1200-1200-675-675-crop-000000.jpg?v=b5411cc8ac,179,"New Line Cinema, WingNut Films, The Saul Zaentz Company","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",The Lord of the Rings: The Fellowship of the Ring,"Reid, Zach",2001
3.55,Hugh Jackman (P. T. Barnum),Zac Efron (Phillip Carlyle),Michelle Williams (Charity Barnum),Rebecca Ferguson (Jenny Lind),Zendaya (Anne Wheeler),USA,Michael Gracey,Drama,English,https://boxd.it/acjI,https://a.ltrbxd.com/resized/sm/upload/6f/78/hx/6n/greatest-showman-1200-1200-675-675-crop-000000.jpg?v=b4b77a20cd,105,"Chernin Entertainment, 20th Century Fox, TSG Entertainment","The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",The Greatest Showman,"Reid, Zach",2017
4.00,Johnny Depp (Jack Sparrow),Geoffrey Rush (Barbossa),Orlando Bloom (Will Turner),Keira Knightley (Elizabeth Swann),Jack Davenport (Norrington),USA,Gore Verbinski,"Fantasy, Adventure, Action",English,https://boxd.it/70G,https://a.ltrbxd.com/resized/sm/upload/5h/tg/uo/z7/pirates-black-pearl-50-1200-1200-675-675-crop-000000.jpg?v=c4cea61022,143,"Walt Disney Pictures, Jerry Bruckheimer Films","When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",Pirates of the Caribbean: The Curse of the Black Pearl,"Reid, Zach",2003
3.76,Johnny Depp (Jack Sparrow),Orlando Bloom (Will Turner),Keira Knightley (Elizabeth Swann),Jack Davenport (Norrington),Bill Nighy (Davy Jones),USA,Gore Verbinski,"Action, Adventure, Fantasy",English,https://boxd.it/2bfk,https://a.ltrbxd.com/resized/sm/upload/ux/m8/x2/yr/pirates-dead-mans-chest-80-1200-1200-675-675-crop-000000.jpg?v=f3e5f6d27c,151,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions","Captain Jack Sparrow’s got a blood debt to pay: he owes his soul to the legendary Davy Jones, ghastly Ruler of the Ocean Depths. To escape eternal servitude aboard the Flying Dutchman, ever-crafty Jack must track down the still-beating heart of Jones. But he won’t do it alone: Will Turner and Elizabeth Swann are drawn back into another one of his perilous quests—assuming they can evade execution for aiding a pirate.",Pirates of the Caribbean: Dead Man's Chest,"Reid, Zach",2006
4.03,Andrew Garfield (Desmond T. Doss),Sam Worthington (Captain Glover),Vince Vaughn (Sgt Howell),Teresa Palmer (Dorothy Schuttle),Luke Bracey (Smitty Ryker),Australia,Mel Gibson,"War, Drama, History",English,https://boxd.it/azew,https://a.ltrbxd.com/resized/sm/upload/88/65/np/e1/hacksaw-ridge-1200-1200-675-675-crop-000000.jpg?v=e434ba822b,139,"Summit Entertainment, Pandemonium, Cross Creek Pictures, Permut Presentations, Vendian Entertainment, Argent Pictures, IM Global, AI Film, Bliss Media, Kylin Pictures, Cosmos Filmed Entertainment, Icon Productions, Lionsgate","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Hacksaw Ridge,"Reid, Zach",2016
4.10,Cary Elwes (Westley),Robin Wright (The Princess Bride),Mandy Patinkin (Inigo Montoya),Chris Sarandon (Prince Humperdinck),Christopher Guest (Count Rugen),USA,Rob Reiner,"Adventure, Fantasy, Family, Romance",English,https://boxd.it/26EY,https://a.ltrbxd.com/resized/sm/upload/bk/t3/rk/rg/princess-bride-1200-1200-675-675-crop-000000.jpg?v=6902556954,99,"The Princess Bride Ltd., Buttercup Films Ltd., Act III Productions","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",The Princess Bride,"Reid, Zach",1987
4.16,Mark Hamill (Luke Skywalker),Harrison Ford (Han Solo),Carrie Fisher (Princess Leia Organa),Peter Cushing (Grand Moff Tarkin),"Alec Guinness (Obi-Wan ""Ben"" Kenobi)",USA,George Lucas,"Adventure, Science Fiction, Action",English,https://boxd.it/72s,https://a.ltrbxd.com/resized/sm/upload/xo/ln/nr/0o/star-wars-70-1200-1200-675-675-crop-000000.jpg?v=766b26c149,121,"Lucasfilm Ltd., 20th Century Fox",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,Star Wars,"Reid, Zach",1977
4.12,Ryan Gosling (Sebastian),Emma Stone (Mia),John Legend (Keith),Rosemarie DeWitt (Laura),Finn Wittrock (Greg),USA,Damien Chazelle,"Drama, Comedy, Romance",English,https://boxd.it/a5fa,https://a.ltrbxd.com/resized/sm/upload/a6/th/cz/kf/la-la-land-1200-1200-675-675-crop-000000.jpg?v=874a46b231,129,"Summit Entertainment, Gilbert Films, Impostor Pictures, Marc Platt Productions","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",La La Land,"Reid, Zach",2016
4.08,Hayden Christensen (Anakin Skywalker / Darth Vader),Ewan McGregor (Obi-Wan Kenobi),Natalie Portman (Padmé Amidala),Ian McDiarmid (Chancellor Palpatine / Darth Sidious),Samuel L. Jackson (Mace Windu),USA,George Lucas,"Science Fiction, Adventure, Action",English,https://boxd.it/27US,https://a.ltrbxd.com/resized/sm/upload/uw/c3/ob/q6/revenge-of-the-sith-1200-1200-675-675-crop-000000.jpg?v=369b9ff7cb,140,Lucasfilm Ltd.,"When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker must choose a side.",Star Wars: Episode III – Revenge of the Sith,"Reid, Zach",2005
4.23,John Travolta (Vincent Vega),Samuel L. Jackson (Jules Winnfield),Uma Thurman (Mia Wallace),Bruce Willis (Butch Coolidge),Ving Rhames (Marsellus Wallace),USA,Quentin Tarantino,"Comedy, Thriller, Crime",English,https://boxd.it/29Pq,https://a.ltrbxd.com/resized/sm/upload/z6/e0/vw/uy/pulp-fiction-65-1200-1200-675-675-crop-000000.jpg?v=bb1e151d8b,154,"Miramax, A Band Apart, Jersey Films","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Pulp Fiction,"Reid, Zach",1994
4.18,Tom Hanks (Forrest Gump),Robin Wright (Jenny Curran),Gary Sinise (Lieutenant Dan Taylor),Sally Field (Mrs. Gump),Mykelti Williamson (Bubba Blue),USA,Robert Zemeckis,"Drama, Romance, Comedy",English,https://boxd.it/728,https://a.ltrbxd.com/resized/sm/upload/ly/1s/z6/yx/forrest-gump-1200-1200-675-675-crop-000000.jpg?v=5686afc240,142,"Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Forrest Gump,"Reid, Zach",1994
4.36,Brad Pitt (LT. Aldo Raine),Mélanie Laurent (Shosanna),Christoph Waltz (COL. Hans Landa),Eli Roth (SGT. Donny Donowitz),Michael Fassbender (LT. Archie Hicox),Germany,Quentin Tarantino,"War, Drama, Thriller",English,https://boxd.it/1JzG,https://a.ltrbxd.com/resized/sm/upload/3k/ei/4w/1h/inglourious-basterds-1200-1200-675-675-crop-000000.jpg?v=8d8456f504,153,"Universal Pictures, The Weinstein Company, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica","In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",Inglourious Basterds,"Reid, Zach",2009
4.39,Shameik Moore (Miles Morales (voice)),Jake Johnson (Peter B. Parker (voice)),Hailee Steinfeld (Gwen Stacy (voice)),Mahershala Ali (Uncle Aaron (voice)),Brian Tyree Henry (Jefferson Davis (voice)),USA,"Bob Persichetti, Peter Ramsey et al","Adventure, Animation, Action, Science Fiction",English,https://boxd.it/azpY,https://a.ltrbxd.com/resized/sm/upload/yd/x2/cb/mw/spider-man-into-spider-verse-1200-1200-675-675-crop-000000.jpg?v=218eb0acc3,117,"Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions, Marvel Entertainment","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",Spider-Man: Into the Spider-Verse,"Reid, Zach",2018
